unix,date,symbol,Open,High,Low,Close,Volume USD,Volume ETH
1637899920,2021-11-26 04:12:00,ETH/USD,4425.62,4430.31,4424.43,4430.31,14.58525223,64617.1888070913
1637899860,2021-11-26 04:11:00,ETH/USD,4425.57,4425.57,4425,4425,8.80736546,38972.5921605
1637899800,2021-11-26 04:10:00,ETH/USD,4431.19,4431.19,4426.56,4426.56,0.03843479,170.1339040224
1637899740,2021-11-26 04:09:00,ETH/USD,4432.82,4433.38,4431.87,4433.38,10.0208,44426.014304
1637899680,2021-11-26 04:08:00,ETH/USD,4434.5,4434.5,4433.49,4433.49,7.467,33104.86983
1637899620,2021-11-26 04:07:00,ETH/USD,4433.17,4433.91,4433.17,4433.91,1.15903752,5139.0680503032
1637899560,2021-11-26 04:06:00,ETH/USD,4436.08,4436.08,4429.99,4429.99,4.54238722,20122.7299607278
1637899500,2021-11-26 04:05:00,ETH/USD,4435.11,4435.14,4435.11,4435.14,0.86381559,3831.1430758326
1637899440,2021-11-26 04:04:00,ETH/USD,4437.41,4437.41,4437.41,4437.41,0.1112,493.439992
1637899380,2021-11-26 04:03:00,ETH/USD,4436.95,4436.95,4436.95,4436.95,0,0
1637899320,2021-11-26 04:02:00,ETH/USD,4439.24,4439.84,4436.95,4436.95,5.72693249,25410.1131115055
1637899260,2021-11-26 04:01:00,ETH/USD,4437.71,4437.71,4433.26,4436.46,82.5703,366319.833138
1637899200,2021-11-26 04:00:00,ETH/USD,4431.95,4431.95,4431.95,4431.95,0,0
1637899140,2021-11-26 03:59:00,ETH/USD,4433.33,4433.33,4430.3,4431.95,3.02871242,13423.102009819
1637899080,2021-11-26 03:58:00,ETH/USD,4437.06,4437.06,4427.56,4432.24,6.269634,27788.52260016
1637899020,2021-11-26 03:57:00,ETH/USD,4435.72,4435.72,4432.1,4432.84,23.69897622,105053.769747065
1637898960,2021-11-26 03:56:00,ETH/USD,4438.24,4440.17,4437.64,4438.4,14.93384572,66282.380843648
1637898900,2021-11-26 03:55:00,ETH/USD,4439.3,4439.76,4439.3,4439.76,9.02904561,40086.7955374536
1637898840,2021-11-26 03:54:00,ETH/USD,4441.31,4441.31,4436.67,4437.16,14.87439273,66000.0604458468
1637898780,2021-11-26 03:53:00,ETH/USD,4442.98,4443.88,4441.31,4441.31,7.34096026,32603.4802123406
1637898720,2021-11-26 03:52:00,ETH/USD,4442.16,4442.16,4442.16,4442.16,0.22513544,1000.0876461504
1637898660,2021-11-26 03:51:00,ETH/USD,4442.38,4442.38,4442.38,4442.38,0.22483944,998.8222314672
1637898600,2021-11-26 03:50:00,ETH/USD,4441.97,4441.97,4441.97,4441.97,0.0396,175.902012
1637898540,2021-11-26 03:49:00,ETH/USD,4444.96,4444.96,4442.41,4442.41,0.39521003,1755.6849893723
1637898480,2021-11-26 03:48:00,ETH/USD,4447.66,4447.66,4445.42,4445.42,12.05272497,53579.4246361374
1637898420,2021-11-26 03:47:00,ETH/USD,4442.41,4442.41,4442.41,4442.41,0.0461,204.795101
1637898360,2021-11-26 03:46:00,ETH/USD,4442.9,4442.97,4442.9,4442.97,9.56250682,42485.9309260554
1637898300,2021-11-26 03:45:00,ETH/USD,4447.26,4447.26,4447.26,4447.26,0,0
1637898240,2021-11-26 03:44:00,ETH/USD,4452.83,4452.83,4447.26,4447.26,11.48826666,51091.3087863516
1637898180,2021-11-26 03:43:00,ETH/USD,4454.74,4454.74,4450.74,4450.74,2.82583931,12577.0760505894
1637898120,2021-11-26 03:42:00,ETH/USD,4450.32,4450.32,4450.32,4450.32,0,0
1637898060,2021-11-26 03:41:00,ETH/USD,4450.32,4450.32,4450.32,4450.32,0.0152,67.644864
1637898000,2021-11-26 03:40:00,ETH/USD,4448.39,4448.39,4448.39,4448.39,0.012,53.38068
1637897940,2021-11-26 03:39:00,ETH/USD,4451.78,4451.78,4448.39,4448.39,6.0346167,26844.328582113
1637897880,2021-11-26 03:38:00,ETH/USD,4453.34,4454.14,4451.01,4451.01,0.25343458,1128.0398499258
1637897820,2021-11-26 03:37:00,ETH/USD,4450.62,4450.88,4447.06,4448.38,5.30971176,23619.6155989488
1637897760,2021-11-26 03:36:00,ETH/USD,4454.24,4454.24,4454.24,4454.24,0,0
1637897700,2021-11-26 03:35:00,ETH/USD,4456.36,4458.25,4454.24,4454.24,15.73185485,70073.457147064
1637897640,2021-11-26 03:34:00,ETH/USD,4458.75,4458.75,4453.55,4453.55,9.4074578,41896.58368519
1637897580,2021-11-26 03:33:00,ETH/USD,4462.54,4462.54,4460.96,4460.96,1.94857992,8692.5370799232
1637897520,2021-11-26 03:32:00,ETH/USD,4456.41,4463.87,4456.41,4463.87,15.02804526,67083.2403947562
1637897460,2021-11-26 03:31:00,ETH/USD,4458.18,4458.18,4458.18,4458.18,0.56091199,2500.6466155782
1637897400,2021-11-26 03:30:00,ETH/USD,4456.13,4461.04,4456.13,4457.95,0.3069153,1368.213061635
1637897340,2021-11-26 03:29:00,ETH/USD,4457.58,4457.58,4457.58,4457.58,0.26,1158.9708
1637897280,2021-11-26 03:28:00,ETH/USD,4465.9,4465.9,4459,4459,13.64566915,60846.03873985
1637897220,2021-11-26 03:27:00,ETH/USD,4470.73,4470.73,4467.74,4467.74,0.9974,4456.123876
1637897160,2021-11-26 03:26:00,ETH/USD,4472.43,4472.43,4472.43,4472.43,0.0216,96.604488
1637897100,2021-11-26 03:25:00,ETH/USD,4467.64,4472.9,4467.64,4468.37,21.12178334,94379.9430229558
1637897040,2021-11-26 03:24:00,ETH/USD,4461.65,4468.28,4461.65,4468.28,37.25182017,166451.563029208
1637896980,2021-11-26 03:23:00,ETH/USD,4467.83,4467.83,4457.86,4461.95,39.55197391,176478.929987725
